id,category,family,name,frequency,unit,source,code,transform,bond_direction,weight
irs_3m,liquidity,利率预期,FR007 IRS 3M,daily,%,CJHX,CJHX:FR007_IRS_3M,pp_change,-1,0.5
irs_6m,liquidity,利率预期,FR007 IRS 6M,daily,%,CJHX,CJHX:FR007_IRS_6M,pp_change,-1,0.5
shibor_6m,liquidity,银行负债,SHIBOR 6M,daily,%,iFinD,IFIND:SHIBOR_6M,pp_change,-1,0.5
shibor_1y,liquidity,银行负债,SHIBOR 1Y,daily,%,iFinD,IFIND:SHIBOR_1Y,pp_change,-1,0.5
bill_3m,liquidity,信用需求,票据转贴 3M,daily,%,iFinD,IFIND:BILL_DISCOUNT_3M,pp_change,-1,0.5
car_wholesale_yoy,consumption,汽车消费,乘用车厂家批发当周同比,weekly,%,CJHX,CJHX:CAR_WHOLESALE_WEEKLY_YOY,pp_change,-1,0.5
metro_shanghai,consumption,市内出行,上海地铁客运量,daily,万人次,CJHX,CJHX:METRO_SHANGHAI,pct_change,-1,0.5
metro_guangzhou,consumption,市内出行,广州地铁客运量,daily,万人次,CJHX,CJHX:METRO_GUANGZHOU,pct_change,-1,0.5
movie_audience,consumption,服务消费,全国当日观影人次,daily,万人次,CJHX,CJHX:MOVIE_AUDIENCE_DAILY,pct_change,-1,0.5
land_tier1,real_estate,土地市场,100城土地成交面积：一线,weekly,万㎡,CJHX,CJHX:LAND_TIER1,pct_change,-1,0.4
land_tier2,real_estate,土地市场,100城土地成交面积：二线,weekly,万㎡,CJHX,CJHX:LAND_TIER2,pct_change,-1,0.4
land_tier3,real_estate,土地市场,100城土地成交面积：三线,weekly,万㎡,CJHX,CJHX:LAND_TIER3,pct_change,-1,0.4
land_premium,real_estate,土地价格,100城土地成交溢价率,weekly,%,CJHX,CJHX:LAND_PREMIUM,pp_change,-1,0.5
newhome_tier1,real_estate,新房销售,30城商品房成交：一线,daily,万㎡,CJHX,CJHX:NEW_HOME_TIER1,pct_change,-1,0.4
newhome_tier2,real_estate,新房销售,30城商品房成交：二线,daily,万㎡,CJHX,CJHX:NEW_HOME_TIER2,pct_change,-1,0.4
newhome_tier3,real_estate,新房销售,30城商品房成交：三线,daily,万㎡,CJHX,CJHX:NEW_HOME_TIER3,pct_change,-1,0.4
listing_tier1,real_estate,房价,二手房挂牌价指数：一线,weekly,指数,CJHX,CJHX:LISTING_PRICE_TIER1,pct_change,-1,0.4
listing_tier2,real_estate,房价,二手房挂牌价指数：二线,weekly,指数,CJHX,CJHX:LISTING_PRICE_TIER2,pct_change,-1,0.4
pvc_rate,infrastructure,建材生产,PVC开工率,weekly,%,CJHX,CJHX:PVC_RATE,pp_change,-1,0.4
cold_rolled_rate,infrastructure,建材生产,冷轧开工率,weekly,%,CJHX,CJHX:COLD_ROLLED_RATE,pp_change,-1,0.4
glass_rate,infrastructure,建材生产,玻璃开工率,weekly,%,CJHX,CJHX:GLASS_RATE,pp_change,-1,0.4
pta_rate,production,化纤产业链,PTA开工率,daily,%,CJHX,CJHX:PTA_RATE,pp_change,-1,0.35
px_rate,production,化纤产业链,PX开工率,daily,%,CJHX,CJHX:PX_RATE,pp_change,-1,0.35
full_tire_rate,production,汽车产业链,全钢胎开工率,weekly,%,CJHX,CJHX:ALL_STEEL_TIRE_RATE,pp_change,-1,0.4
semi_tire_rate,production,汽车产业链,半钢胎开工率,weekly,%,CJHX,CJHX:SEMI_STEEL_TIRE_RATE,pp_change,-1,0.4
daqin_volume,production,煤炭运输,大秦线煤炭运量,daily,万吨,iFinD,IFIND:DAQIN_COAL_VOLUME,pct_change,-1,0.6
filament_rate,production,化纤产业链,江浙涤纶长丝开工率,weekly,%,CJHX,CJHX:FILAMENT_RATE,pp_change,-1,0.35
staple_rate,production,化纤产业链,涤纶短纤开工率,weekly,%,CJHX,CJHX:STAPLE_RATE,pp_change,-1,0.35
coking_rate,production,黑色产业链,焦化开工率,weekly,%,CJHX,CJHX:COKING_RATE,pp_change,-1,0.4
methanol_rate,production,化工产业链,甲醇开工率,weekly,%,CJHX,CJHX:METHANOL_RATE,pp_change,-1,0.5
styrene_rate,production,化工产业链,苯乙烯开工率,weekly,%,CJHX,CJHX:STYRENE_RATE,pp_change,-1,0.5
eia_crude_inventory,inventory,海外能源库存,EIA原油库存,weekly,万桶,iFinD,IFIND:EIA_CRUDE_INVENTORY,pct_change,1,0.3
lme_copper_inventory,inventory,有色库存,LME铜库存,daily,吨,iFinD,IFIND:LME_COPPER_INVENTORY,pct_change,1,0.4
shfe_copper_inventory,inventory,有色库存,上期所铜库存,weekly,吨,iFinD,IFIND:SHFE_COPPER_INVENTORY,pct_change,1,0.5
medium_plate_inventory,inventory,钢材库存,中厚板库存,weekly,万吨,CJHX,CJHX:MEDIUM_PLATE_INVENTORY,pct_change,1,0.3
cold_rolled_inventory,inventory,钢材库存,冷轧库存,weekly,万吨,CJHX,CJHX:COLD_ROLLED_INVENTORY,pct_change,1,0.3
rebar_inventory,inventory,钢材库存,螺纹钢库存,weekly,万吨,CJHX,CJHX:REBAR_INVENTORY,pct_change,1,0.5
