semantic_code,query_name,provider_id,frequency,raw_unit,scale
IFIND:BILL_DISCOUNT_6M,转贴(国股贴)半年国股,M021397974,D,%,1
IFIND:BILL_DISCOUNT_3M,转贴(国股贴)3M国股,M021397977,D,%,1
IFIND:FLIGHTS_DAILY,航班执行情况:执行航班数:国内航班:中国,S009089641,D,班次,1
IFIND:SECONDHAND_SHANGHAI_AREA,上海:二手房成交面积,S019819636,D,平方米,1
IFIND:SECONDHAND_BEIJING_UNITS,北京:二手房:销售套数:周,S004368947,W,套,1
IFIND:SECONDHAND_SHENZHEN_UNITS,深圳:二手房成交套数,S000054119,D,套,1
IFIND:SECONDHAND_NANJING_UNITS,南京:二手房:住宅成交套数,S004369345,D,套,1
IFIND:SECONDHAND_CHENGDU_UNITS,成都:二手住宅成交套数,S002890895,D,套,1
CJHX:CONSTRUCTION_STEEL_TRANSACTION,成交量:建筑钢材:主流贸易商,S008618299,D,吨,0.0001
CJHX:ASPHALT_OPERATING_RATE,沥青:平均开工率:当周值,S019986856,W,%,1
IFIND:POWER_PLANT_COAL_CONSUMPTION,煤炭:日均耗煤量:六大发电集团:总计,S003839324,D,万吨,1
CJHX:POLYESTER_RATE,开工率:聚酯行业,S005439570,D,%,1
CJHX:HRC_INVENTORY,总库存:热轧板卷,S005580640,W,吨,0.0001
CJHX:COLD_ROLLED_INVENTORY,总库存:冷轧板卷,S005580646,W,吨,0.0001
CJHX:MEDIUM_PLATE_INVENTORY,总库存:中厚板,S005580643,W,吨,0.0001
IFIND:SHFE_COPPER_INVENTORY,期货库存:铜:上海:合计,S002933783,W,吨,1
IFIND:LME_COPPER_INVENTORY,LME铜:库存:合计,S004303280,D,吨,1
IFIND:POWER_PLANT_COAL_INVENTORY,煤炭:库存量:六大发电集团:总计,S003839317,D,吨,0.0001
IFIND:QHD_COAL_INVENTORY,煤炭库存:秦皇岛港,S000009307,D,万吨,1
IFIND:PORT_CONTAINER_THROUGHPUT_WEEKLY,港口完成集装箱吞吐量:当周值,S018701191,W,万二十英尺标准箱,1
IFIND:CNY_CFETS,CFETS人民币汇率指数,M004115462,W,指数,1
IFIND:SHIBOR_6M,Shibor:6月,M002816453,D,%,1
CJHX:PVC_RATE,PVC:开工率:当周值,S019985093,W,%,1
CJHX:COLD_ROLLED_RATE,冷轧板卷钢厂:开工率:全国:当周值,S005580578,W,%,1
CJHX:GLASS_RATE,浮法玻璃:开工率:当周值,S005696264,W,%,1
CJHX:PTA_RATE,开工率:PTA装置,S019765727,D,%,1
CJHX:PX_RATE,开工率:聚酯产业链:PX,S020076168,D,%,1
IFIND:DAQIN_COAL_VOLUME,煤炭:发运量:大秦线,S019848908,D,万吨,1
CJHX:STAPLE_RATE,涤纶短纤:开工率:当周值,S019986858,W,%,1
CJHX:COKING_RATE,开工率:独立焦化厂:全国:当周值,S009815947,W,%,1
CJHX:METHANOL_RATE,开工率:甲醇:全国:小计,S005439668,W,%,1
CJHX:STYRENE_RATE,开工率:苯乙烯:小计,S005439670,W,%,1
IFIND:EIA_CRUDE_INVENTORY,库存:商业原油,S004382967,W,千桶,0.1
CJHX:WIRE_INVENTORY,库存:线材:合计,S002837284,W,吨,0.0001
IFIND:NANHUA_AGRI,南华期货:农产品指数,S004094485,D,指数,1
IFIND:NANHUA_ENERGY,南华期货:能化指数,S004094484,D,指数,1
IFIND:NANHUA_METALS,南华金属指数,S004094486,D,指数,1
IFIND:IRON_ORE_FUTURES,期货结算价(活跃):铁矿石,S012107746,D,元/吨,1
IFIND:GASOLINE_EX_FACTORY_TAXED,国内汽油出厂价(含税),S000006482,W,元/吨,1
IFIND:GLASS_SPOT,现货价:玻璃,S004242725,D,元/平方米,1
IFIND:BLAST_FURNACE_TANGSHAN,高炉开工率(个数):唐山,S009122307,W,%,1
