date,exports_yoy,imports_yoy
2021-08-31,25.1026510137946,33.8281421369567
2021-09-30,27.5193133616113,17.8637941463686
2021-10-31,26.5782,20.6682
2021-11-30,21.4311,31.7329
2021-12-31,20.7752,20.7512
2022-01-31,23.9631,21.7852
2022-02-28,6.1318,11.8925
2022-03-31,14.4942,0.6018
2022-04-30,3.6737,0.65
2022-05-31,16.7938,5.0865
2022-06-30,17.7129,1.493
2022-07-31,17.7958,2.4875
2022-08-31,7.001,-0.1937
2022-09-30,5.5662,-0.405
2022-10-31,-0.6161,-1.1423
2022-11-30,-9.2234,-10.8589
2022-12-31,-10.1087,-7.3035
2023-01-31,-10.6972,-20.5457
2023-02-28,-1.5595,5.5515
2023-03-31,14.3089,-0.5709
2023-04-30,7.9666,-7.7711
2023-05-31,-8.0329,-5.1413
2023-06-30,-13.8689,-7.9807
2023-07-31,-15.3795,-13.18
2023-08-31,-9.5673,-8.0392
2023-09-30,-7.32,-7.0222
2023-10-31,-7.8911,2.383
2023-11-30,-1.2068,-1.1992
2023-12-31,-0.8039,0.0929
2024-01-31,5.2892,15.6419
2024-02-29,2.9219,-8.4334
2024-03-31,-11.378,-2.7564
2024-04-30,-1.0035,7.257
2024-05-31,6.654348574,0.9342924
2024-06-30,7.897356047,-2.745284725
2024-07-31,6.672626985,7.332591075
2024-08-31,8.376774535,0.476922817
2024-09-30,1.531930179,0.31786219
2024-10-31,12.4556,-2.2718
2024-11-30,6.97962532,-3.879403859
2024-12-31,10.542410478,1.10003311
2025-01-31,5.5352,-16.3332
2025-02-28,-2.3183,1.5949
2025-03-31,12.238956424,-4.459482878
2025-04-30,7.94617857,-0.267867564
2025-05-31,4.548718721,-3.115397719
2025-06-30,5.644950123,0.801449995
2025-07-31,7.062699773,3.533747543
2025-08-31,4.264705041,0.852677048
2025-09-30,8.1832,7.2596
2025-10-31,-1.198877356,0.909047214
2025-11-30,5.77633518,1.771926536
2025-12-31,6.590688347,5.568218188
2026-01-31,9.832042397,25.857222888
2026-02-28,39.366304246,13.870955708
2026-03-31,2.268426903,27.753309401
2026-04-30,13.858352195,25.103832946
2026-05-31,19.196908029,27.465376232
2026-06-30,26.797544202,36.241936883
2026-07-31,23.639395843,27.65232125
