indicator_id,indicator_name,category,family,frequency,unit,source,semantic_code,provider_code,mapping_status,component_weight,core,aggregate,transform,bond_direction
irs_1y,FR007 IRS 1Y,liquidity,利率预期,daily,%,CJHX,CJHX:FR007_IRS_1Y,,pending,1,true,,pp_change,-1
irs_5y,FR007 IRS 5Y,liquidity,利率预期,daily,%,CJHX,CJHX:FR007_IRS_5Y,,pending,1,true,,pp_change,-1
shibor_3m,SHIBOR 3M,liquidity,银行负债,daily,%,CJHX,IFIND:SHIBOR_3M,,pending,1,true,,pp_change,-1
bill_6m,票据转贴 6M,liquidity,信用需求,daily,%,iFinD,IFIND:BILL_DISCOUNT_6M,,pending,1,true,,pp_change,-1
car_retail_yoy,乘用车厂家零售当周同比,consumption,汽车消费,weekly,%,CJHX,CJHX:CAR_RETAIL_WEEKLY_YOY,,pending,1,true,,pp_change,-1
metro_composite,重点城市地铁客流指数,consumption,市内出行,daily,指数,CJHX,CJHX:METRO_SHANGHAI,,pending,1,true,standardized_mean,pct_change,-1
metro_composite,重点城市地铁客流指数,consumption,市内出行,daily,指数,CJHX,CJHX:METRO_GUANGZHOU,,pending,1,true,standardized_mean,pct_change,-1
boxoffice_7d,全国电影票房 7日合计,consumption,服务消费,daily,亿元,CJHX,CJHX:BOX_OFFICE_DAILY,,pending,1,true,rolling_7d_sum,pct_change,-1
flights_7d,国内航班执行量 7日均值,consumption,跨城出行,daily,架次,iFinD,IFIND:FLIGHTS_DAILY,,pending,1,true,rolling_7d_mean,pct_change,-1
land_4w,100城土地成交面积 4周均值,real_estate,土地市场,weekly,万㎡,CJHX,CJHX:LAND_100_CITIES_TOTAL,,pending,1,true,rolling_4w_mean,pct_change,-1
newhome_30c,30城商品房成交 7日均值,real_estate,新房销售,daily,万㎡,CJHX,CJHX:NEW_HOME_30_CITIES,,pending,1,true,rolling_7d_mean,pct_change,-1
secondhand,重点城市二手房成交指数,real_estate,二手房销售,daily,指数,iFinD,IFIND:SECONDHAND_SHANGHAI_AREA,,pending,1,true,standardized_mean,pct_change,-1
secondhand,重点城市二手房成交指数,real_estate,二手房销售,daily,指数,iFinD,IFIND:SECONDHAND_BEIJING_UNITS,,pending,1,true,standardized_mean,pct_change,-1
secondhand,重点城市二手房成交指数,real_estate,二手房销售,daily,指数,iFinD,IFIND:SECONDHAND_SHENZHEN_UNITS,,pending,1,true,standardized_mean,pct_change,-1
secondhand,重点城市二手房成交指数,real_estate,二手房销售,daily,指数,iFinD,IFIND:SECONDHAND_NANJING_UNITS,,pending,1,true,standardized_mean,pct_change,-1
