family,provider_id,name,lag_months,minimum_release_lag,release_feasible,train_n,train_corr,full_n,full_corr,evaluation_n,evaluation_corr,early_evaluation_n,early_evaluation_corr,late_evaluation_n,late_evaluation_corr
korea_imports_from_china_yoy,G022252836,韩国:进口金额:中国:当月同比,-1,0,False,35,0.7191459826580091,59,0.6470062724292339,24,0.4653317688046513,12,-0.27996825589220686,12,0.4767835985623616
korea_imports_from_china_yoy,G022252836,韩国:进口金额:中国:当月同比,0,0,True,35,0.8695734154307292,60,0.8091219503240884,25,0.668841221525407,12,0.1992282516866859,13,0.6846520466664651
korea_imports_from_china_yoy,G022252836,韩国:进口金额:中国:当月同比,1,0,True,34,0.8520674346702739,59,0.7537977006845124,25,0.5579917263010705,12,0.27788800786661816,13,0.5031682675395683
korea_imports_from_china_yoy,G022252836,韩国:进口金额:中国:当月同比,2,0,True,33,0.7176066066564907,58,0.6078074153242679,25,0.4156485072569821,12,-0.7998039002868998,13,0.47481985924918446
korea_imports_from_china_yoy,G022252836,韩国:进口金额:中国:当月同比,3,0,True,32,0.462876065870669,57,0.4384556040883117,25,0.5162563397308384,12,0.6401569638094159,13,0.40365895428146525
brazil_imports_from_china_yoy,G020023687,巴西:进口金额:中国:当月同比,-1,0,False,35,0.8461059543531428,59,0.6236473506219791,24,0.11689706643206178,12,-0.1181294767660236,12,0.47588060014038647
brazil_imports_from_china_yoy,G020023687,巴西:进口金额:中国:当月同比,0,0,True,35,0.7526530000151392,60,0.41494958077835364,25,-0.37286218831928186,12,-0.48651835330254456,13,-0.2373589872085155
brazil_imports_from_china_yoy,G020023687,巴西:进口金额:中国:当月同比,1,0,True,34,0.6222206137022717,59,0.4589972373290349,25,0.10819647512795239,12,0.4501955664680716,13,0.3400145540220041
brazil_imports_from_china_yoy,G020023687,巴西:进口金额:中国:当月同比,2,0,True,33,0.5419865952129489,58,0.3740396872326771,25,0.06652375998226691,12,0.21526316856748473,13,0.34233393109906757
brazil_imports_from_china_yoy,G020023687,巴西:进口金额:中国:当月同比,3,0,True,32,0.5259976761093419,57,0.272747561470065,25,-0.19009027978470636,12,-0.2489561918675338,13,0.07202658932835221
